geosot	id
11011001111000	7617
11011001111010  7618
11011001110000	7619
11011001011010	7620
11011001011000	7621
11011001010010	7622
11011001010000	7623
11010011111010	7624
11010011111000	7625
11010011110010	7626
11010011110000	7627
11010011011010	7628
11010011011000	7629
11010011010010	7630
11010011010000	7631
11010001111010	7632
11010001111000	7633
11010001110010	7634
11010001110000	7635
11010001011010	7636
11010001011000	7637
11010001010010	7638
11010001010000	7639
01010001010000	7640
01010001010010	7641
01010001011000	7642
01010001011010	7643
01010001110000	7644
01010001110010	7645
01010001111000	7646
01010001111010	7647
01010011010000	7648
01010011010010	7649
01010011011000	7650
01010011011010	7651
01010011110000	7652
01010011110010	7653
01010011111000	7654
01010011111010	7655
01011001010000	7656
01011001010010	7657
01011001011000	7658
01011001011010	7659
01011001110000	7660
01011001110010	7661
01011001111000	7662
11011001101101	7663
11011001100111	7664
11011001100101	7665
11011001001111	7666
11011001001101	7667
11011001000111	7668
11011001000101	7669
11010011101111	7670
11010011101101	7671
11010011100111	7672
11010011100101	7673
11010011001111	7674
11010011001101	7675
11010011000111	7676
11010011000101	7677
11010001101111	7678
11010001101101	7679
11010001100111	7680
11010001100101	7681
11010001001111	7682
11010001001101	7683
11010001000111	7684
11010001000101	7685
01010001000101	7686
01010001000111	7687
01010001001101	7688
01010001001111	7689
01010001100101	7690
01010001100111	7691
01010001101101	7692
01010001101111	7693
01010011000101	7694
01010011000111	7695
01010011001101	7696
01010011001111	7697
01010011100101	7698
01010011100111	7699
01010011101101	7700
01010011101111	7701
01011001000101	7702
01011001000111	7703
01011001001101	7704
01011001001111	7705
01011001100101	7706
01011001100111	7707
01011001101101	7708
11011001101100	7709
11011001100110	7710
11011001100100	7711
11011001001110	7712
11011001001100	7713
11011001000110	7714
11011001000100	7715
11010011101110	7716
11010011101100	7717
11010011100110	7718
11010011100100	7719
11010011001110	7720
11010011001100	7721
11010011000110	7722
11010011000100	7723
11010001101110	7724
11010001101100	7725
11010001100110	7726
11010001100100	7727
11010001001110	7728
11010001001100	7729
11010001000110	7730
11010001000100	7731
01010001000100	7732
01010001000110	7733
01010001001100	7734
01010001001110	7735
01010001100100	7736
01010001100110	7737
01010001101100	7738
01010001101110	7739
01010011000100	7740
01010011000110	7741
01010011001100	7742
01010011001110	7743
01010011100100	7744
01010011100110	7745
01010011101100	7746
01010011101110	7747
01011001000100	7748
01011001000110	7749
01011001001100	7750
01011001001110	7751
01011001100100	7752
01011001100110	7753
01011001101100	7754
11011001101001	7755
11011001100011	7756
11011001100001	7757
11011001001011	7758
11011001001001	7759
11011001000011	7760
11011001000001	7761
11010011101011	7762
11010011101001	7763
11010011100011	7764
11010011100001	7765
11010011001011	7766
11010011001001	7767
11010011000011	7768
11010011000001	7769
11010001101011	7770
11010001101001	7771
11010001100011	7772
11010001100001	7773
11010001001011	7774
11010001001001	7775
11010001000011	7776
11010001000001	7777
01010001000001	7778
01010001000011	7779
01010001001001	7780
01010001001011	7781
01010001100001	7782
01010001100011	7783
01010001101001	7784
01010001101011	7785
01010011000001	7786
01010011000011	7787
01010011001001	7788
01010011001011	7789
01010011100001	7790
01010011100011	7791
01010011101001	7792
01010011101011	7793
01011001000001	7794
01011001000011	7795
01011001001001	7796
01011001001011	7797
01011001100001	7798
01011001100011	7799
01011001101001	7800
11011001101000	7801
11011001100010	7802
11011001100000	7803
11011001001010	7804
11011001001000	7805
11011001000010	7806
11011001000000	7807
11010011101010	7808
11010011101000	7809
11010011100010	7810
11010011100000	7811
11010011001010	7812
11010011001000	7813
11010011000010	7814
11010011000000	7815
11010001101010	7816
11010001101000	7817
11010001100010	7818
11010001100000	7819
11010001001010	7820
11010001001000	7821
11010001000010	7822
11010001000000	7823
01010001000000	7824
01010001000010	7825
01010001001000	7826
01010001001010	7827
01010001100000	7828
01010001100010	7829
01010001101000	7830
01010001101010	7831
01010011000000	7832
01010011000010	7833
01010011001000	7834
01010011001010	7835
01010011100000	7836
01010011100010	7837
01010011101000	7838
01010011101010	7839
01011001000000	7840
01011001000010	7841
01011001001000	7842
01011001001010	7843
01011001100000	7844
01011001100010	7845
01011001101000	7846
11011000111101	7847
11011000110111	7848
11011000110101	7849
11011000011111	7850
11011000011101	7851
11011000010111	7852
11011000010101	7853
11010010111111	7854
11010010111101	7855
11010010110111	7856
11010010110101	7857
11010010011111	7858
11010010011101	7859
11010010010111	7860
11010010010101	7861
11010000111111	7862
11010000111101	7863
11010000110111	7864
11010000110101	7865
11010000011111	7866
11010000011101	7867
11010000010111	7868
11010000010101	7869
01010000010101	7870
01010000010111	7871
01010000011101	7872
01010000011111	7873
01010000110101	7874
01010000110111	7875
01010000111101	7876
01010000111111	7877
01010010010101	7878
01010010010111	7879
01010010011101	7880
01010010011111	7881
01010010110101	7882
01010010110111	7883
01010010111101	7884
01010010111111	7885
01011000010101	7886
01011000010111	7887
01011000011101	7888
01011000011111	7889
01011000110101	7890
01011000110111	7891
01011000111101	7892
11011000111100	7893
11011000110110	7894
11011000110100	7895
11011000011110	7896
11011000011100	7897
11011000010110	7898
11011000010100	7899
11010010111110	7900
11010010111100	7901
11010010110110	7902
11010010110100	7903
11010010011110	7904
11010010011100	7905
11010010010110	7906
11010010010100	7907
11010000111110	7908
11010000111100	7909
11010000110110	7910
11010000110100	7911
11010000011110	7912
11010000011100	7913
11010000010110	7914
11010000010100	7915
01010000010100	7916
01010000010110	7917
01010000011100	7918
01010000011110	7919
01010000110100	7920
01010000110110	7921
01010000111100	7922
01010000111110	7923
01010010010100	7924
01010010010110	7925
01010010011100	7926
